신고번호,신고일자,신고세관부호,수입신고구분코드,수입거래구분코드,수입종류코드,징수형태코드,운송수단유형코드,신고인부호,수입자,해외거래처부호,특송업체부호,HS10단위부호,적출국가코드,원산지국가코드,관세율,관세율구분코드,원산지표시유무코드,신고중량(KG),과세가격원화금액,우범여부,핵심적발
24077377,2020-01-01,20,B,83,15,18,40,R5P6P4N,CJ6ZCGQ,SPNQCD4,,9503003919,CN,CN,4.8,FCN1,B,10711.0,716565.9,0,0
19201172,2020-01-01,40,B,11,21,11,10,A7POIBB,Q8MAKJD,KILND1W,,2005999000,CN,CN,18.0,FCN1,G,48320.0,4575904.0,0,0
25886903,2020-01-01,20,B,11,21,11,10,5K1441H,EHXQG9A,W3K0JC6,,8517623900,CA,CA,0.0,CIT,Y,14.1,13320.27,0,0
64705381,2020-01-01,30,B,11,21,11,10,CSYO98C,Y3QS787,KQ8UJP7,,7326909000,DE,DE,0.0,FEU1,Y,22.0,33.0,0,0
51313213,2020-01-01,16,B,94,26,43,40,M2URW6J,TM6WOEY,G15KUZ2,MWIDNS,3911909000,NL,GB,6.5,C,B,24.5,10106.25,1,1
21073696,2020-01-01,70,B,11,21,11,10,0M7YBNH,55BH1VM,OOZO637,,9206009000,NP,NP,0.0,R,S,60.0,3486.0,0,0
38525083,2020-01-02,40,B,11,21,11,10,0P8U6XH,EM2E4JI,NL4ITTS,,4016999000,CN,CN,8.0,A,E,4.0,72.4,0,0
47431706,2020-01-02,30,B,11,11,11,10,ZQJIYI3,4P7B5G1,DLZIJEQ,,3926909000,US,US,0.0,FUS1,G,228.2,136.92,1,1
83743051,2020-01-02,40,B,15,21,11,10,7OSA8BP,2P3V50X,O6JLM7J,,6204629000,CN,CN,13.0,A,G,220.0,30866.000000000004,0,0
63617737,2020-01-02,40,B,11,21,43,40,NAILZPA,AGE39KK,ZHR1CC1,,6109903010,CN,CN,9.1,FCN1,Y,20.0,1250.0,0,0
32708224,2020-01-02,40,B,94,21,18,10,DWNJQL8,C156PIZ,,MWIDNS,3926909000,CN,CN,6.5,C,E,15.5,9.3,0,0
94748548,2020-01-02,20,B,11,21,11,10,XPROI7W,708A72F,N1MU33Y,,9503003493,CN,CN,8.0,A,B,110.0,28930.0,1,2
38543102,2020-01-02,30,B,11,21,11,10,6069NL6,35QPBS0,QDA3U8T,,6307909000,US,NI,10.0,A,E,300.0,690.0,1,1
57728656,2020-01-02,40,B,11,21,11,10,Q9ZG6R5,1E7DTR5,1DKNO2M,,6402999000,CN,CN,13.0,A,E,5.0,514.0,0,0
40371610,2020-01-02,40,B,89,21,18,10,6ULEI9B,9RMD0T5,YFEUVQC,W6UCD9,2508100000,TR,TR,3.0,A,E,2819.6,64568.84,0,0
73126688,2020-01-02,20,B,11,21,43,10,E3Q8ABV,MJZO983,,VZIZJJ,3926901000,JP,US,6.5,C,G,0.3,9.48,0,0
24697408,2020-01-02,10,B,11,21,11,10,RP2SEEH,SKDR671,MM7MN4S,,9404900000,VN,VN,0.0,FAS1,E,911.4,21053.34,0,0
95975634,2020-01-02,30,B,11,21,11,10,UTNPOCA,28OZXXF,42VLJD6,,3909500000,DE,DE,0.0,FEU1,Y,250.0,110175.0,1,1
46824398,2020-01-02,10,B,11,21,43,10,U7IV9RE,ZYVOW2Z,XVKXZOK,,9403609090,CN,CN,0.0,C,Y,9900.0,70290.0,0,0
93188371,2020-01-02,40,B,11,21,11,10,5XHS2TE,F3XOF3E,U69S3XW,,6204630000,CN,CN,6.5,E1,S,6132.0,403485.6,0,0
27330422,2020-01-02,40,B,11,21,11,10,BYUUDT8,6JZPZ3O,V9GO1VJ,,8413200000,CN,CN,0.0,FCN1,G,3643.2,44082.72,0,0
84902588,2020-01-02,10,B,11,21,14,10,BXTMU7D,037VMHI,NNBIK6P,,8414599000,IT,IT,0.0,FEU1,E,392.4,25152.84,0,0
57565526,2020-01-02,30,B,11,21,11,10,ZN0A109,N6CG9ZF,EKEWR8W,,6402999000,VN,VN,0.0,FAS1,B,3493.2,359100.96,0,0
73045847,2020-01-02,20,B,11,21,11,40,X09KN33,U89JAWF,PUR3454,,8505199000,CN,CN,8.0,A,G,5.0,218.0,0,0
98752699,2020-01-02,30,B,11,21,11,10,AB2TXFG,YFDPPDW,5WRJWBD,,3304991000,DE,DE,0.0,FEU1,S,380.0,67678.0,0,0
88268883,2020-01-02,40,B,11,21,11,40,VW16HAX,EKI0ID0,CXC3E7O,,6109101000,CN,CN,13.0,A,G,40.0,624.0,1,1
35053269,2020-01-02,40,B,11,21,43,40,DWNJQL8,MODEXI2,R6OX3Y9,MWIDNS,3101001090,JP,JP,6.5,C,E,127700.0,4712130.0,0,0
51770822,2020-01-02,40,B,11,21,11,40,FI9N1BX,NMF3ARJ,FDS7TF3,EIZP3I,9402908000,US,TW,0.0,C,Y,14.8,22570.0,0,0
39894127,2020-01-02,20,B,11,21,11,40,KWSE1HX,0NBY50H,IHDE3DP,,9401699000,VN,VN,0.0,C,G,3600.0,258480.0,0,0
65839607,2020-01-02,20,B,11,21,43,10,B28XSP7,J4HE1D5,TJ5LQYN,,3926909000,DE,DE,6.5,C,E,100.0,60.0,0,0
50196114,2020-01-02,20,B,11,21,11,10,6V0LO4Q,QBIH1EB,Z7DI1C1,,712902099,JP,JP,30.0,A,S,100.0,81170.0,0,0
23794696,2020-01-02,30,B,11,21,11,10,K3HCKNK,ETURNFG,AM05MDE,,1604199090,VN,VN,0.0,FVN1,Y,500.0,252150.0,0,0
65637572,2020-01-02,20,B,11,21,11,10,626DNVO,GR4J0RB,SB737F4,,9019102000,CN,CN,0.0,FCN1,Y,1275.0,6630.0,0,0
78327056,2020-01-02,20,B,11,21,43,10,WBQKENF,7OUO7H7,IJ8KT4I,,2005991000,CN,CN,20.0,A,S,6000.0,385200.0,0,0
11817825,2020-01-02,16,B,11,21,11,40,30KWO4D,EXV87PQ,AWI1M30,,8441809000,JP,JP,8.0,A,G,24700.0,1121380.0,0,0
14504852,2020-01-02,62,B,11,21,43,40,M4LHV6R,BLZGA7I,P5KJOIV,,8518299000,CN,CN,4.0,C,G,7590.0,722568.0,0,0
60904587,2020-01-02,20,B,11,21,11,10,L5GONLU,T9K1CH7,,,9102299000,KR,CH,8.0,A,E,0.2,57.22000000000001,0,0
52259628,2020-01-02,20,B,11,21,11,10,PES81CQ,K475220,VVFLVNF,,4203301090,IT,IT,13.0,A,B,5.0,1712.0,0,0
53200097,2020-01-02,40,B,11,21,11,40,AX4CW6G,RVKGBFV,DYE3F4N,,8536909090,US,US,0.0,FUS1,G,4.0,156.8,1,1
92603662,2020-01-02,20,B,11,21,11,10,7E5Q6X6,MRAROIU,UVKG8JK,,8537109000,DE,DE,0.0,FEU1,S,0.6,180.3,0,0
84067615,2020-01-02,40,B,11,21,18,40,PF1L1IG,O6AMSF7,L04YPY8,MWIDNS,2619009000,MY,MY,2.0,A,E,202640.0,1215840.0,0,0
84059707,2020-01-02,20,B,11,21,11,10,FI9N1BX,FBKWIIB,WCKFJ61,,4009110000,US,US,0.0,FUS1,B,1.6,725.7600000000001,0,0
21143403,2020-01-02,40,B,11,21,11,10,FI9N1BX,NB7S8YQ,OJSCAW7,,8518299000,CN,CN,4.0,C,E,88.0,8377.6,1,1
54838489,2020-01-02,20,B,11,21,11,10,U8YJ1TN,LHMZ0BH,LQIJWPR,,6307100000,PH,US,10.0,A,E,920.4,6534.839999999998,0,0
56747478,2020-01-02,20,B,11,26,11,10,BWN4U9D,Y6R9IMD,Y1DIJHP,,6802911000,IT,IT,0.0,FEU1,Y,24000.0,1173600.0,0,0
97878449,2020-01-02,20,B,11,21,11,10,XCIAAPR,GNTQ01X,NH38CYF,,5603910000,CN,CN,3.2,FCN1,B,543.0,47023.8,0,0
65547224,2020-01-02,40,B,94,21,11,10,NN47CLJ,LLOUM5I,H0YUACY,,8518220000,FR,FR,0.0,FEU1,G,50.0,7095.0,0,0
91910410,2020-01-02,40,B,11,31,11,40,MEIP9W0,8V7MR0F,,,4015190000,MY,MY,0.0,FAS1,B,7230.0,401265.0,0,0
55296135,2020-01-02,20,B,11,21,43,40,YVRA5HF,AY89LH5,,,6204629000,GB,PL,13.0,A,Y,100.0,14030.000000000002,0,0
29892142,2020-01-02,40,B,11,21,43,10,AX4CW6G,22JV8UE,9BL24RS,,9618001000,HK,CN,8.0,A,Y,55.3,16042.53,0,0
92537849,2020-01-02,40,B,11,21,43,40,E3Q8ABV,VIXK8AG,U3GCVEO,,8543702090,CN,CN,0.0,FCN1,E,330.2,3830.32,0,0
33419521,2020-01-02,20,B,11,11,43,10,SC03Z0S,PCSBCXW,PF56GPT,,6203430000,VN,VN,0.0,FVN1,E,3000.0,592800.0,0,0
90239614,2020-01-02,80,B,11,21,14,40,44F36R4,3Z5L1PO,Y03WKJU,,8421999099,DE,DE,0.0,FEU1,S,308.0,1786.4,0,0
79755031,2020-01-02,40,B,11,21,11,10,6T0AJ3G,2D2MYTA,46C5OXJ,,8523292111,DE,GB,0.0,C,G,5.3,144800.77,0,0
90985933,2020-01-02,40,B,86,21,11,40,LP6EWRR,LMC03UW,B1875BL,,8302500000,CN,US,8.0,A,Y,1.0,126.7,0,0
29121654,2020-01-02,62,B,29,26,33,40,0LA5GOR,N2WHDTJ,20P79IP,2SP9SH,8504909000,CN,CN,0.0,C,Y,435.0,104965.5,0,0
39996759,2020-01-02,13,B,11,26,18,10,IGMGKXM,BMH6J4M,1QSWF8K,,6506910000,CN,CN,8.0,A,Y,597.2,194567.76,0,0
65153144,2020-01-02,20,B,11,21,11,10,A7POIBB,0LICM7E,IU5QO7Q,,8542391000,TW,TW,0.0,C,Y,12.5,522.5,0,0
55355481,2020-01-02,40,B,11,21,11,10,7TTJVAJ,HXRYQ4U,V4Z5Z2K,,3919900000,CN,CN,6.5,C,B,30.0,3.0,1,1
37082229,2020-01-02,20,B,11,21,43,10,6LV96I6,30TFI2G,LICIJAN,,3926909000,CN,CN,3.9,FCN1,G,180.0,108.0,1,1
13844785,2020-01-02,40,B,15,21,43,40,5RQ0VK6,5VOMCFU,U0867HI,VZIZJJ,8712009090,CN,CN,0.0,FCN2,E,4953.5,1676759.75,1,1
70709940,2020-01-02,30,B,11,21,14,40,N6ZS7RE,DMW06JW,F5O2DK0,,8419400000,DE,DE,8.0,A,E,154.7,266362.46,0,0
51502279,2020-01-02,20,B,11,21,11,10,K24WNBY,V7AX5I3,57M3YAH,EIZP3I,3920620000,TH,TH,0.0,FAS1,E,20681.8,299886.1,0,0
48433537,2020-01-02,40,B,11,21,11,10,0FWK4FA,GG8BN7J,,EIZP3I,9024901000,CN,CN,0.0,CIT,Y,15.0,2911.5,0,0
27142667,2020-01-02,40,B,94,21,18,40,Y7GUHAF,HW96MLB,,W6UCD9,6110110000,IT,CN,13.0,A,E,0.7,188.79,0,0
20824144,2020-01-02,40,B,11,23,18,10,FU4QYZ3,BGXLMKK,V7U393R,,8481900000,US,TW,8.0,A,Y,2.0,87.8,0,0
48809614,2020-01-02,40,B,11,21,11,10,1556AQV,HK4G0IL,B2R58DL,,3701309990,TW,MY,0.0,C,G,44.0,138142.4,0,0
66009718,2020-01-02,20,B,11,21,18,10,UFO3ZSU,L26HSGE,OAXQLRN,,9401699000,CN,CN,0.0,C,G,1628.0,116890.4,0,0
33127022,2020-01-02,30,B,11,21,11,10,46VGCQF,IITU56C,KGLU4BG,,9404900000,CN,CN,4.2,FCN1,Y,577.9,13349.49,0,0
32069865,2020-01-02,20,B,11,21,11,40,A7POIBB,5PE4M24,,,6306220000,CN,CN,13.0,A,E,1020.0,7140.0,1,1
62040320,2020-01-02,13,B,11,21,11,10,HBA4R25,HJAXBP3,96QVZP3,,2309901040,VN,VN,0.0,FAS1,G,46800.0,3252600.0,0,0
15851969,2020-01-02,20,B,11,21,11,10,9WFVM3U,F3LYP3T,U8M4Z4C,,3902900000,JP,JP,6.5,C,B,2400.0,840480.0,0,0
26796424,2020-01-02,30,B,11,21,11,10,5U5EWL2,TP13DDU,UQHMADE,,3920620000,TH,TH,0.0,FAS1,Y,20681.8,299886.1,0,0
32843831,2020-01-02,40,B,11,21,43,10,4NJOZ3J,YHZF1M5,ZX33IL2,,8477900000,MX,KR,8.0,A,S,67.0,8080.2,1,1
46259371,2020-01-02,39,B,11,21,0,10,8IWVCL0,8OK2G0F,NWB76BS,988GCP,6206401000,CN,CN,6.5,E1,E,36.0,687.6,0,0
36201135,2020-01-02,20,B,11,21,43,10,Y7GUHAF,C778XGM,BVU01MU,,3926909000,CN,CN,3.4,FCN1,S,51.0,30.6,0,0
15655053,2020-01-02,30,B,11,21,11,10,37P1HWU,FM24UMT,OMBWJUK,,7202210000,CN,CN,0.0,P3,B,20000.0,7572000.0,0,0
37204442,2020-01-02,40,B,11,21,18,40,PF1L1IG,H3KPREH,5VUE8VT,,6202920000,VN,VN,0.0,FVN1,E,505.8,710446.6799999998,0,0
30390132,2020-01-02,20,B,11,21,11,10,FM1LE1R,YPAL7B4,26DPZC6,,9030100000,AE,US,0.0,C,B,2.6,27030.64,0,0
34512418,2020-01-02,40,B,11,21,14,40,DWNJQL8,HESM5N3,R3UQ8GB,VZIZJJ,9503003919,CN,CN,4.2,FCN1,S,4978.2,333041.58,0,0
74483829,2020-01-02,20,B,11,21,11,10,UOOH9ZX,3UGLL4I,5LPVHRD,,2106909099,TH,TH,0.0,FAS1,S,46500.0,5882250.0,0,0
17476981,2020-01-02,40,B,87,21,11,40,69RSNY6,30EZMVX,,MWIDNS,1211901999,DE,DE,8.0,A,E,0.3,18.12,0,0
65912175,2020-01-02,40,B,15,21,11,10,LP6EWRR,E808G5S,,,9401809000,CN,CN,0.0,C,B,6048.2,7257.839999999998,0,0
91007101,2020-01-02,20,B,11,21,11,10,89L3UKQ,YC583OE,XE2UJGU,,6505009029,CN,CN,2.4,FCN1,B,198.0,732.6,0,0
54007502,2020-01-02,20,B,11,21,43,10,OHE0O8U,HZ768MN,1XUHGU5,MWIDNS,9405409000,CN,CN,4.8,FCN1,G,2560.0,26368.0,1,1
80451343,2020-01-02,20,B,11,21,11,10,8BBKYXO,1F28A1Z,XXPRVGD,,6204420000,CN,CN,5.2,FCN1,G,200.0,11660.0,0,0
65531568,2020-01-02,30,B,11,21,11,10,8FIQMFG,TQEVPHY,Z2JP4ZG,,6811820000,FI,FI,8.0,A,E,10.0,1070.0,0,0
88467426,2020-01-02,30,B,11,21,11,10,6APLI65,1OQ5SZB,VO9L3NH,,3822002019,GB,GB,0.0,C,B,0.3,917.43,0,0
29537685,2020-01-02,20,B,11,21,43,10,23TMRU0,J986ETI,V7P5ZIU,,710809000,CN,CN,27.0,A,G,11010.0,2694147.0,0,0
43802671,2020-01-02,40,B,87,21,43,40,DWNJQL8,1UP3S1C,6WQKYWD,W6UCD9,8703249020,US,CA,8.0,C,E,1766.0,15540.8,1,1
23304760,2020-01-02,20,B,11,21,43,10,W78SJ07,9AG8233,I6HZCKT,,4811490000,US,US,0.0,C,B,700.0,11690.0,0,0
41792613,2020-01-02,20,B,11,21,11,40,K24WNBY,2TSD24C,W5WQQV8,,4202921090,GB,IT,0.0,FEU1,B,1.0,0.6,0,0
64496769,2020-01-02,16,B,11,11,43,40,3Z185QT,O64BOMR,YN3O2G6,,8414599000,CN,CN,8.0,A,S,9510.0,609591.0,0,0
99343212,2020-01-02,16,B,11,21,11,10,6T0AJ3G,LDUEBK6,8PDKYER,,7326909000,CN,CN,8.0,A,Y,66.0,99.0,0,0
99562790,2020-01-02,40,B,11,21,43,40,K2UGEJV,MQF0P6B,BCTIFJS,,9018392000,SE,SE,8.0,A,G,5.0,1630.5,0,0
58095731,2020-01-02,40,B,11,21,11,40,5PDPMM1,MQ8UVBH,7G104PH,,9506310000,JP,JP,8.0,A,G,30.0,12975.0,0,0
72377348,2020-01-02,40,B,11,26,14,40,4TCWW13,KZQQLLU,YZLV2C4,77BN4M,9503003300,CN,CN,0.0,FCN1,B,1600.0,196480.0,0,0
38958183,2020-01-02,20,B,11,21,11,10,E0OSKO6,TJ0SUA2,,,3926909000,JP,JP,6.5,C,G,0.5,0.3,0,0
26613376,2020-01-02,40,B,15,21,14,40,GKIYMO3,L47OGO7,MU7NSIW,MWIDNS,6110301000,CN,CN,13.0,A,Y,62.9,5837.12,0,0
46835605,2020-01-02,20,B,11,21,11,10,UAU3QSC,S0XK6J5,X3S3PP4,,9102199090,JP,CH,8.0,A,B,0.1,315.54,0,0
37738859,2020-01-02,30,B,11,21,11,40,V5FCG3P,OT1NUHM,REPR4IS,,9019102000,CN,CN,0.0,C,S,182.0,946.4,0,0
48558371,2020-01-02,20,B,11,21,11,10,PF1L1IG,K69MR49,H40BV8D,,4016999000,ID,ID,0.0,FAS1,G,6985.0,126428.5,0,0
93938093,2020-01-02,40,B,11,21,18,40,YE6VVXT,U71WUN6,6QOKZS1,,8421999099,BE,DE,5.0,F,Y,55.0,319.0,0,0
93098019,2020-01-02,20,B,11,21,11,10,OZB7KED,64IKMJ1,,,8536410000,TH,TH,8.0,A,B,1284.3,16053.75,0,0
79556341,2020-01-02,20,B,11,21,43,10,PF1L1IG,VZ8JFY8,39N2UXR,,910111000,CN,CN,377.3,W2,E,24000.0,4512000.0,0,0
78991990,2020-01-02,20,B,11,21,11,10,HV1AB1L,OS43ICR,,,3506911000,JP,JP,8.0,A,G,0.2,310.22,0,0
27310746,2020-01-02,40,B,11,21,43,40,X4YE5K6,CGN27K6,P9HG2N4,,3926909000,CN,CN,3.9,FCN1,E,504.0,302.4,0,0
92210701,2020-01-02,20,B,87,21,43,10,DWNJQL8,PMEDQJ8,E44MM7Y,,8451509000,VN,VN,0.0,FVN1,G,1800.0,601200.0,0,0
19036276,2020-01-02,40,B,94,21,14,40,09EO87L,3GQAOA4,7TKBH6M,,3926901000,JP,NL,6.5,C,G,0.6,18.96,0,0
55100851,2020-01-02,20,B,11,21,11,10,SDXKKA0,S2VGP2T,8QESJW5,,710807000,CN,CN,27.0,A,G,120000.0,31824000.0,0,0
39065187,2020-01-02,20,B,11,21,11,40,90QOU11,KYY9NKU,AVOO0AW,,2103909090,CN,CN,8.0,A,G,18000.0,486000.0,0,0
21827031,2020-01-02,20,B,11,21,11,10,E3Q8ABV,C2NJUKR,LX077P8,W6UCD9,3304999000,US,US,0.0,FUS1,E,162.3,43447.71,0,0
26076545,2020-01-02,40,B,11,26,11,40,DWNJQL8,2Z2POPJ,MSX9L0Y,,6403999000,IT,IT,0.0,FEU1,E,5.0,1257.0,0,0
27008836,2020-01-02,40,B,11,21,43,10,D3V1AKD,5C2RPY6,DH4O31M,,3824999090,CN,CN,0.0,FCN1,Y,10000.0,125000.0,1,1
55933132,2020-01-02,40,B,11,21,11,10,RFVR9PS,M1KRMOQ,LSITAA8,,7326909000,SG,SG,8.0,A,G,0.4,0.6000000000000001,0,0
43497534,2020-01-02,20,B,11,21,11,10,3BTA0QN,KHZY7FK,QXPOJKV,,3006302000,FR,FR,0.0,C,B,0.2,1097.0200000000002,1,1
74776612,2020-01-02,40,B,11,21,43,40,PF1L1IG,E0BIR2P,,,5407612000,CN,CN,8.0,A,E,691.0,16722.2,0,0
14935873,2020-01-02,120,B,11,21,14,10,53KL7P3,L31A15G,584WE73,KJ8YGQ,2931390000,CN,CN,0.0,FCN1,G,1500.0,870300.0000000001,0,0
89262639,2020-01-02,40,B,11,11,11,40,5PDPMM1,5KVVCF1,,,6109101000,CN,CN,13.0,A,Y,40.0,624.0,1,1
42185163,2020-01-02,40,B,11,21,43,40,HV1AB1L,BSUHCD2,,,9401619000,CN,CN,0.0,C,Y,5513.0,83797.59999999999,0,0
55295049,2020-01-02,40,B,11,21,43,10,7GHJ33J,MV2TS4B,2162JQU,,703209000,CN,CN,360.0,W2,S,48000.0,11649600.0,0,0
15510874,2020-01-02,30,B,11,21,11,10,BAIQVNM,ZG0M4ST,0XNKP0S,,7113110000,JP,ES,8.0,A,B,0.1,29.05,1,1
92700589,2020-01-02,40,B,29,21,43,40,2ZOTTLU,JKWLP5F,7J9O5M7,,9603100000,CN,CN,8.0,A,Y,20.0,8100.0,0,0
44059036,2020-01-02,16,B,11,21,14,10,43MSLZK,IIX3C8X,CCZWU53,,7117195000,JP,JP,8.0,A,S,0.5,15.6,1,1
38614674,2020-01-02,16,B,11,21,11,10,1U0VYZN,PWNE9N4,6LCB8O7,,3918101000,CN,CN,0.0,FCN1,Y,108019.2,21117753.6,1,1
73148389,2020-01-02,13,B,11,21,11,10,8EF0CRI,M5KYBBQ,BDHIVEX,,5515129000,CN,CN,10.0,A,G,775.0,1007.5,0,0
69898565,2020-01-02,40,B,11,26,11,10,ZC7MBCO,GVRV184,8Y1PKR0,,3924100000,IT,IT,0.0,FEU1,E,59.9,83.86,0,0
35185413,2020-01-02,20,B,11,21,14,40,GN81ZZR,2Q61RC8,GFE4F5Y,,3822003050,SG,US,8.0,A,E,5.0,20007.0,0,0
81166116,2020-01-02,30,B,11,21,11,10,VR0AM2A,ABC5TTW,6Y7C50F,,7307210000,US,KR,8.0,A,G,34.0,2210.0,1,1
60596783,2020-01-02,20,B,11,21,11,10,1HOMGVB,H8JRSLI,MHL4F2V,,8505119000,CN,CN,4.8,FCN1,Y,34.0,5399.200000000002,0,0
97788341,2020-01-02,20,B,11,21,11,10,A0ZY90B,P1TZXEU,UQT91IP,,710802000,CN,CN,27.0,C,B,48000.0,14073600.0,0,0
82390812,2020-01-02,16,B,11,21,11,10,6LV96I6,E970KIJ,GGEFVY8,,3926909000,CN,CN,3.9,FCN1,G,450.0,270.0,0,0
17795503,2020-01-02,140,B,11,21,11,10,LYKEHJV,SOJIKWS,YHJZ6P7,,3907100000,JP,JP,6.5,C,B,332.0,66898.0,0,0
43947541,2020-01-02,30,B,11,21,11,40,Y7GUHAF,9ISMYBS,R4ZGF06,,710807000,CN,CN,27.0,A,G,95000.0,25194000.0,1,1
77786590,2020-01-02,30,B,11,21,11,10,LGHP8UE,EKTUG9G,RZM2Z77,,9002111000,CN,CN,8.0,A,B,0.3,2518.14,0,0
73776041,2020-01-02,20,B,11,21,11,10,NZYZ967,O6A9WFE,3AUYF9E,,4002319000,RU,RU,5.0,A,G,204120.0,196669620.0,0,0
82760341,2020-01-02,30,B,11,21,11,10,8PEK67V,BNKZU99,QU5WXTF,,3902300000,US,US,0.0,FUS1,S,3500.0,715400.0,0,0
34402386,2020-01-02,30,B,11,21,43,10,7GHJ33J,GGYZ5JZ,0IYY5O6,,8504403010,CN,CN,0.0,C,Y,27.1,5907.8,0,0
11945430,2020-01-02,20,B,11,21,11,10,1XFQZDH,COVEFBY,3T5GEL3,,6204530000,CN,CN,13.0,A,E,57.0,2280.0,0,0
84170957,2020-01-02,40,B,11,21,11,10,Q4SMFNB,O3T6YR6,INKZ5TX,,4602119000,CN,CN,8.0,A,G,3.0,1244.4,1,1
14511374,2020-01-02,20,B,11,21,11,10,DM8H44I,FT3RAPQ,EBAHJLA,,9403890000,DE,DE,0.0,C,B,16.9,128.43999999999997,0,0
24359899,2020-01-02,20,B,11,21,43,10,C6MLPCX,AI1JGDK,37OCYAL,,8533401000,HK,TW,0.0,C,Y,1.0,2302.5,1,1
86232348,2020-01-02,40,B,94,21,14,40,RXUA5V5,AV73P2C,0LWHLAN,MWIDNS,9506310000,JP,JP,8.0,A,Y,58.0,25085.0,0,0
10957814,2020-01-02,40,B,87,21,18,40,DWNJQL8,J37IKI5,,MWIDNS,2106909099,LV,RU,8.0,A,E,655.2,82882.8,1,1
54764652,2020-01-02,12,B,89,21,11,40,I78QFXO,7TXA94X,GTTZC39,B12OMY,3926905000,CN,CN,0.0,FCN1,G,1160.0,141984.0,1,1
29865321,2020-01-02,40,B,11,21,11,40,YCWPB31,GSRPMYQ,ZBFN1VW,,8803301000,JP,JP,0.0,A,G,59.8,141492.78,0,0
40101451,2020-01-02,20,B,11,21,11,10,PF1L1IG,LASEQ2U,1CN7YRL,,8518109090,NL,NL,0.0,FEU1,E,4.0,709.6,0,0
37260544,2020-01-02,20,B,11,21,11,10,43MSLZK,ETFXTYP,S68QCAE,,8703239020,DE,DE,0.0,FEU1,G,2075.0,20127.5,1,1
