Date,Office ID,Process Type,Import Type,Import Use,Payment Type,Mode of Transport,Declarant ID,Importer ID,Seller ID,Courier ID,HS10 Code,Country of Departure,Country of Origin,Tax Rate,Tax Type,Country of Origin Indicator,Net Mass,Item Price,Fraud,Critical Fraud
2020-01-02,30,B,11,21,11,10,I8O6RFU,21LE4FN,1G7JVI4,,8708999000,CN,CN,8.0,A,B,262.0,1834.0,1,1
2020-01-02,20,B,11,21,11,39,N8XBQG4,MK7CEGQ,99ZG2WK,W6UCD9,6110301000,CN,CN,13.0,A,S,818.3,75938.23999999999,0,0
2020-01-02,39,B,11,21,11,9,H3RWZG0,QPLNTDF,U0VQZR4,,4203299000,US,US,0.0,FUS1,B,22.0,5541.8,0,0
2020-01-02,42,B,11,21,11,10,H3RWZG0,TSHW0MN,P7RLECZ,,1211901999,PK,PK,8.0,A,G,2.0,120.8,0,0
2020-01-02,30,B,11,21,17,10,ZKB0LAL,M5KYBBQ,370YTH3,,3923500000,CN,CN,0.0,FCN1,G,66.0,501.6,1,1
2020-01-02,40,B,88,21,13,40,AB2TXFG,MA67TMS,3DDOYAB,,3214109000,ES,ES,0.0,FEU1,Y,10683.4,2420858.44,0,0
2020-01-02,20,B,10,21,11,10,N1LOTGT,ZFD4V5Y,LFY4FQJ,W6UCD9,8531909000,CN,TW,0.0,CIT,B,142.0,158401.0,1,1
2020-01-02,40,B,12,21,12,10,ZQLV58T,LSNSOZU,3EVLVZQ,,3926909000,HK,CN,6.5,C,G,0.2,0.12,0,0
2020-01-02,40,B,85,21,11,10,G0AJB20,GIG2BOF,Y2PCIUX,,8534009000,CN,CN,0.0,C,Y,90.0,2790.0,0,0
2020-01-02,19,B,10,21,11,9,PF1L1IG,IL84M7R,7JUUMOF,,8455210000,CN,CN,8.0,A,Y,32265.0,124859097.0,0,0
2020-01-02,41,B,11,21,43,10,IL0ECV3,PBZ0OQQ,O6YO081,,8424902000,US,US,8.0,A,S,992.0,133027.19999999998,0,0
2020-01-02,41,B,11,21,11,10,SV1VZBU,S92BYUU,249LO7A,MWIDNS,9401809000,CN,CN,0.0,C,G,2053.0,2463.6,0,0
2020-01-02,20,B,11,21,18,40,EX4Q9G2,YRQHODD,GOHC6Y8,,6101200000,CN,CN,5.2,FCN1,B,130.0,315224.0,0,0
2020-01-02,40,B,11,21,11,10,EC8HJIM,1ZNPIQF,KP5SET4,,3002121000,JP,JP,0.0,C,S,10.7,74531.92,0,0
2020-01-02,21,B,11,21,11,10,LTMCLCO,LYCEQ0L,UXX1AJX,,7217200000,CN,CN,0.0,FCN1,G,22659.0,1302892.5,0,0
2020-01-02,40,B,11,21,17,10,H1U03NK,M2ZXACC,RREWM2Y,,8431390000,GB,GB,0.0,C,B,18.0,3897.0,1,1
2020-01-02,20,B,11,21,11,10,XCIAAPR,LGN9ZMM,KILND1W,,9018909080,GB,GB,0.0,FGB1,Y,0.9,201.51,1,1
2020-01-02,31,B,11,21,11,10,DWNJQL8,7FNIY7J,IS1YATG,,8462210000,DE,AT,0.0,FEU1,Y,14375.0,4932062.5,0,0
2020-01-02,21,B,12,21,10,11,RZXCX7U,X675X6Z,IS1YATG,,9503003990,DE,DE,0.0,C,S,1.1,0.66,0,0
2020-01-02,38,B,11,21,10,41,A7POIBB,31B9IMY,KILND1W,,710807000,CN,CN,27.0,A,Y,100000.0,26520000.0,0,0
2020-01-02,39,B,11,21,11,38,UTNPOCA,UHYWN3J,TNBC1SB,W6UCD9,7604291000,VN,VN,0.0,FAS1,G,7132.0,9493405.2,0,0
2020-01-02,29,B,33,21,11,40,X6Z3FIF,Z4T77JB,9EGR9AH,,8528690000,CN,CN,4.2,FCN1,Y,38.6,10279.18,0,0
2020-01-02,19,B,10,21,11,9,EFJR7PT,IHVOT97,8QOEWI1,,1515909090,GB,GB,0.0,FGB1,Y,50.0,13180.000000000002,1,1
2020-01-02,30,B,11,21,11,10,GF9R28Q,IAHFKWZ,JXZTQ6A,,5515119000,CN,CN,5.3,FCN1,G,360.0,15732.000000000002,0,0
2020-01-02,40,B,11,21,11,10,SIMR6L9,GJT0N3M,9Q45PIS,,9401699000,VN,VN,0.0,C,S,3205.0,230119.0,0,0
2020-01-02,40,B,12,21,11,10,7Y5OGPF,6PKP66D,,,7117199000,JP,CN,8.0,A,Y,2.6,4.6800000000000015,1,1
2020-01-02,28,B,12,21,12,10,JS0RSCD,KJ4R6WT,,,3926909000,DE,CN,6.5,C,B,1.5,0.8999999999999999,1,1
2020-01-02,41,B,11,21,11,40,DB7JDWC,VFZH3V6,L6RB5KO,,3402902000,CN,CN,0.0,FCN1,S,110000.0,16797000.0,0,0
2020-01-02,20,B,10,21,11,10,K43BSIF,WTTAMBK,GWCMOIS,,6203429000,MY,MY,0.0,FAS1,Y,717.0,197461.8,0,0
2020-01-02,40,B,12,21,10,9,E3Q8ABV,3SLH9AD,XOGGBMY,,4420902090,CN,CN,8.0,A,E,154.0,14014.0,0,0
2020-01-02,41,B,11,21,11,40,OZB7KED,PLW8GPR,7B6MAYT,MWIDNS,6505009029,CN,CN,2.4,FCN1,B,371.0,1372.7,0,0
2020-01-02,33,B,11,21,11,39,RLQN4VB,KRN7UPY,7JUUMOF,,710802000,CN,CN,27.0,C,G,24000.0,7036800.0,0,0
2020-01-02,40,B,11,21,11,39,TO5XNG0,VR6LWUR,8TF3OLD,,6209201000,CN,CN,8.0,A,G,4.2,5403.3,1,1
2020-01-02,20,B,12,21,11,10,FYJTYAA,FBX1QTU,7QOBTB2,,5408320000,JP,JP,8.0,A,S,52.0,109148.0,0,0
2020-01-02,19,B,11,21,11,10,3XOIRLN,7QHT111,ONKQE2Z,,4202221020,CN,CN,2.4,FCN1,S,60.0,7008.0,1,1
2020-01-02,21,B,11,21,11,10,UTNPOCA,6WXVMA3,KILND1W,,6104620000,KH,KH,0.0,FAS1,G,1351.4,1248558.46,0,0
2020-01-02,39,B,11,21,11,10,JGCIOXU,BF0G98M,XUR1GYY,,9405409000,CN,CN,4.2,FCN1,G,255.0,2626.5,1,1
2020-01-02,40,B,12,21,10,39,8MTRQLF,5NBCG1Z,WRC110G,,9102199090,HK,CH,8.0,A,Y,7.4,23349.960000000006,1,1
2020-01-02,31,B,11,21,19,39,P4TQ6NU,M4Z2M0C,8R866R6,VZIZJJ,4113100000,AE,PK,5.0,A,B,40.0,35496.0,1,1
2020-01-02,14,B,11,21,11,10,PF1L1IG,DGXJUYF,GQAU72B,,1201909000,CN,CN,0.0,FCN6,B,80000.0,22328000.0,1,1
2020-01-02,21,B,10,21,10,39,7TTJVAJ,WEII2OK,,,1207991000,CN,CN,36.0,FCN1,E,14980.0,11152610.0,0,0
2020-01-02,40,B,11,21,11,40,WS7HRMI,58H4OG4,W0FXX8G,,8708999000,IN,IN,8.0,A,E,514.4,3600.8,0,0
2020-01-02,40,B,95,21,11,10,PF1L1IG,VLSAFUL,C9DXOFP,,9405409000,CN,CN,8.0,A,B,500.0,5150.0,0,0
2020-01-02,40,B,83,21,11,40,UN8ZIU6,IM7FKBP,B1V7G8C,,6306902000,CN,CN,5.2,FCN1,G,232.0,107253.6,0,0
2020-01-02,39,B,11,21,11,40,9Y1EXB4,0TWDZ2W,888H7R0,W6UCD9,3926909000,CN,CN,3.9,FCN1,Y,1878.0,1126.8,0,0
2020-01-02,20,B,12,21,10,10,EC8HJIM,3BFUK83,,,706101000,CN,CN,30.0,A,Y,24000.0,3648000.0,0,0
2020-01-02,40,B,12,21,10,9,1XCM1XF,Z821RPT,82KU3NA,,8449001000,CN,CN,0.0,FCN1,G,1360.0,335920.0,0,0
2020-01-02,39,B,11,21,11,10,1XCM1XF,XE08QFH,9I78ET2,,6307909000,CN,CN,4.0,FCN1,Y,137.0,315.1,0,0
2020-01-02,41,B,85,21,11,40,4NJOZ3J,AUX9E59,BFIQPAF,,6206401000,CN,CN,6.5,E1,B,94.0,1795.4,0,0
2020-01-02,40,B,12,21,15,40,STKCU9Z,ZVYI4CP,CGC93QG,,3903909000,CN,CN,0.0,FCN1,S,9600.0,1761600.0,0,0
2020-01-02,19,B,11,21,11,37,PF1L1IG,EPX4C6W,,,710807000,VN,VN,27.0,A,Y,48000.0,12729600.0,0,0
2020-01-02,20,B,86,21,11,39,2GQ4CZY,I91MX6Z,DC8ZFRX,,4016999000,US,VN,8.0,A,Y,254.0,4597.4000000000015,1,1
2020-01-02,39,B,12,21,10,38,FP0PREQ,52V8T8F,,,3006302000,FR,FR,0.0,C,G,0.2,1097.0200000000002,1,1
2020-01-02,28,B,11,21,11,10,NB30P6B,QI4DOAR,J6CQGJD,,8507609000,US,US,8.0,A,E,960.0,52800.0,0,0
2020-01-02,41,B,10,21,11,9,GLV0FEA,IN0V13J,OOHVJZ2,,703101000,CN,CN,135.0,W2,G,24000.0,2272800.0,0,0
2020-01-02,40,B,11,21,11,40,E5BS5N9,L2PCFKY,851HFMW,,904210000,CN,CN,270.0,W2,E,10000.0,10312000.0,0,0
2020-01-02,40,B,11,21,11,9,8KW4WLT,JH8UI6T,2OQZJ37,,3206110000,ES,ES,0.0,FEU1,G,4725.0,2351160.0,0,0
2020-01-02,21,B,10,21,11,10,L5GONLU,C1Y102J,MKLIOFC,,8302500000,SG,CN,8.0,A,Y,10.0,1267.0,1,1
2020-01-02,40,B,11,21,11,9,L5GONLU,7G0PNTC,TXWYCMP,,6507000000,CN,CN,0.0,FCN1,Y,185.2,23224.08,0,0
2020-01-02,30,B,12,21,10,38,E3Q8ABV,52V8T8F,221VSXY,,6109109000,US,MX,13.0,A,Y,1700.0,14789.999999999998,0,0
2020-01-02,41,B,10,21,11,10,R3N6ZU4,N9D7DK9,TBYU8IT,,6211399000,JP,CN,13.0,A,E,13.6,7958.72,0,0
2020-01-02,41,B,10,21,12,10,IQRINEQ,XIKK7OW,,,6205302000,CN,CN,13.0,A,G,55.0,449273.0,0,0
2020-01-02,20,B,11,21,11,10,3BTA0QN,CEWW3VT,4Z4689O,,5911900000,CN,CN,2.4,FCN1,Y,645.2,3871.2,0,0
2020-01-02,19,B,10,21,11,9,PF1L1IG,9RUY3WI,,,7409909000,JP,JP,8.0,A,Y,3781.0,2254988.4,0,0
2020-01-02,32,B,11,21,19,10,AB2TXFG,4J1EC4Y,QWES8HK,,4202921090,CN,CN,3.2,FCN1,Y,2.8,1.68,0,0
2020-01-02,19,B,11,21,11,37,5WBN4AQ,206WMTU,HBJXEK9,,6802930000,CN,CN,8.0,A,Y,86800.0,937440.0,1,1
2020-01-02,39,B,11,21,12,9,DWNJQL8,PCJHSM1,,,9019102000,HK,CN,0.0,C,Y,40.3,209.56,1,1
2020-01-02,20,B,26,21,11,39,4OSUO77,BMN8IJE,HAGNF1Q,,5512191000,DE,DE,10.0,A,G,13.3,1943.13,0,0
2020-01-02,30,B,11,21,11,10,I768TB2,1SOR6LL,9TG9HU1,,6211429000,CN,CN,3.9,FCN1,S,60.0,2400.0,0,0
2020-01-02,39,B,11,21,19,40,L5GONLU,6M61T9S,IU5QO7Q,,6109101000,IT,IT,13.0,A,Y,1.0,15.6,0,0
2020-01-02,42,B,11,21,11,39,FG66YE1,5ALGWAO,2OQZJ37,,8471509000,US,US,0.0,C,B,92.5,20507.25,1,1
2020-01-02,20,B,10,21,11,9,YHIG68I,FFFC1Y9,FRELKEF,,1211201110,CN,CN,222.8,W2,G,100.0,635740.0,0,0
2020-01-02,40,B,10,21,11,40,FNWQTV5,UH1U32M,66Q5KPV,,3824999090,US,US,0.0,FUS1,S,19250.0,240625.0,0,0
2020-01-02,40,B,11,21,11,9,J0VWEJZ,UD98TJK,1PBKO2S,,9506910000,CN,CN,2.4,FCN1,E,94.0,1278.4,1,1
2020-01-02,40,B,11,21,43,10,DC4LEI7,1JGLYYJ,BDWQQS4,LM3SJ4,9403609090,CN,CN,0.0,C,Y,2246.0,15946.6,0,0
2020-01-02,41,B,10,21,11,10,NZYZ967,708A72F,,,7311002000,TW,JP,8.0,A,G,2524.5,222913.35,0,0
2020-01-02,8,B,12,21,39,39,OZB7KED,IVE6UX6,KSOU2X6,,9018909090,JP,JP,8.0,A,G,11.8,593.54,0,0
2020-01-02,21,B,11,21,11,40,K3E28IQ,Y4RZZK2,P4N7ARF,,6204530000,VN,VN,0.0,FVN1,Y,252.0,10080.0,0,0
2020-01-02,19,B,11,21,11,37,PF1L1IG,GKLIYC0,E44MM7Y,,6207290000,CN,CN,13.0,A,Y,1.1,290.62,0,0
2020-01-02,20,B,11,21,11,40,QLUG4S3,M7OC8B6,MKBE96X,MWIDNS,6802930000,CN,CN,8.0,A,B,7600.0,82080.0,1,1
2020-01-02,40,B,11,21,14,39,U8YJ1TN,1L39382,EMNGTAS,,4202299000,FR,IT,0.0,FEU1,S,3.4,136.0,1,1
2020-01-02,39,B,12,21,10,9,7YOSHYM,9XCZ7PY,,,3824999041,CN,CN,0.0,FCN1,Y,250.0,38175.0,1,2
2020-01-02,21,B,11,21,18,10,2ODETN4,5M3DFYM,1PBKO2S,,8803301000,US,US,0.0,A,B,36.8,87072.48,0,0
2020-01-02,40,B,11,21,11,39,5K1441H,BTTRFOV,26W89DR,,3926909000,CN,CN,3.4,FCN1,E,700.0,420.0,1,1
2020-01-02,42,B,10,21,12,40,UTNPOCA,OUASRNI,UNCISOP,,9113909000,CN,CN,8.0,A,S,56.5,3813.75,0,0
2020-01-02,19,B,10,21,11,9,L5GONLU,3RNIHA7,,,3923900000,CN,CN,3.9,FCN1,Y,3397.0,6454.299999999998,0,0
2020-01-02,28,B,11,21,12,10,TEZRJXM,WZ0SMIX,0EN5VCW,,8536699000,CN,CN,8.0,A,E,596.0,41779.6,0,0
2020-01-02,20,B,11,21,18,40,37P1HWU,DSMSZ0C,J8LW8EP,,9503003411,CN,CN,3.2,FCN1,G,2100.0,23940.0,0,0
2020-01-02,20,B,10,21,11,10,TPQTA2O,RM30IRL,1F5446X,,3924909000,CN,CN,0.0,FCN1,Y,9.5,10.45,1,1
2020-01-02,40,B,11,21,11,9,PF1L1IG,7G0PNTC,V7U393R,,9032909000,IT,IT,0.0,FEU1,Y,64.7,23382.58,1,1
2020-01-02,40,B,12,21,10,9,PF1L1IG,7JY761X,O9QXSRZ,,6907221000,CN,CN,6.2,E1,Y,70890.0,2346459.0,0,0
2020-01-02,30,B,11,21,10,39,M532G2P,Z5FPNIQ,QQ5NEYV,,8507909000,CN,CN,3.2,FCN1,B,420.0,2268.0,0,0
2020-01-02,40,B,10,21,43,39,H3RWZG0,AI1JGDK,UXX1AJX,,9405302000,CN,CN,3.2,FCN1,S,628.0,100228.8,0,0
2020-01-02,31,B,10,21,11,10,OZB7KED,R3Y9QAD,OM0XA9D,,9018392000,SI,HU,0.0,FEU1,E,2500.0,815250.0,0,0
2020-01-02,40,B,12,21,10,9,UTNPOCA,B2NYTQT,WSK2KPA,,6305320000,VN,VN,0.0,FVN1,Y,1262.0,477162.2,1,1
2020-01-02,40,B,12,21,10,9,E3Q8ABV,YDMHTLK,,,8439990000,JP,JP,8.0,A,Y,3120.0,617760.0,0,0
2020-01-02,39,B,12,21,10,38,M64ILNR,JN6D7DB,,,8518109090,HK,HK,6.0,CIT,Y,11.4,2022.36,0,0
2020-01-02,41,B,10,21,11,10,6LV96I6,0AY92YO,J7L6EBI,,9503003800,CN,CN,3.2,FCN1,G,900.0,113310.0,1,1
2020-01-02,19,B,11,21,11,9,H3RWZG0,BGJKI7V,,,9401699000,VN,VN,0.0,C,Y,2289.6,164393.28,0,0
2020-01-02,20,B,11,21,11,9,6LV96I6,JR6TNRM,XHTM56W,,710807000,CN,CN,27.0,A,B,60000.0,15912000.0,0,0
2020-01-02,32,B,11,11,11,10,WRS98AF,F6KL639,DLOILOI,,6211431000,CN,CN,3.9,FCN1,B,198.8,10297.84,1,1
2020-01-02,20,B,11,21,11,10,0597DNU,1CI8PRT,7VIDIYN,,7310290000,CN,CN,0.0,FCN1,G,840.0,2436.0,0,0
2020-01-02,20,B,11,21,11,10,RWYXI0J,JZDLP53,BVDOUUX,618AAX,9507109000,CN,CN,0.0,FCN1,B,850.0,27200.0,1,1
2020-01-02,19,B,11,21,11,9,8BBKYXO,9IBALT8,42VLJD6,,7102310000,US,BW,1.0,A,E,0.1,371604.69,0,0
2020-01-02,30,B,11,21,46,9,3L9AEFP,UHYWN3J,3VS9SAI,,307210000,JP,JP,20.0,A,G,14200.0,4260000.0,0,0
2020-01-02,29,B,11,21,11,10,OQY4ZUC,GAZWHE9,RZM2Z77,,2106909099,TW,TW,8.0,A,E,20844.0,2636766.0,0,0
2020-01-02,40,B,11,21,11,9,76NV527,Y1OCWJM,EQ17C38,,7009100000,CN,CN,0.0,FCN1,G,932.8,734393.44,0,0
2020-01-02,40,B,12,21,16,10,TWNONMM,PKUANWB,6SGMO2L,,8532250000,CN,CN,0.0,C,B,0.0,0.0,0,0
2020-01-02,21,B,11,21,11,10,UMV59OQ,HOPBSCB,NPKQ6XY,,602909040,CN,CN,5.6,FCN1,B,21500.0,1526500.0,0,0
2020-01-02,19,B,11,21,11,37,PF1L1IG,PDN3GW3,,,6211129000,CN,CN,13.0,A,Y,5.2,793.0,0,0
2020-01-02,20,B,87,21,41,10,N9MVAE1,NRBKEAW,SCIYTWI,MWIDNS,1604199090,CN,CN,13.0,FCN1,Y,18000.0,9077400.0,0,0
2020-01-02,20,B,11,21,11,10,OZB7KED,Z352XII,4VMRI9B,,4010199000,CN,CN,3.2,FCN1,Y,16350.0,13791225.0,0,0
2020-01-02,30,B,11,21,18,10,A7POIBB,1WQ1Y1G,SPGQEFC,,2008119000,CN,CN,40.0,W1,G,9016.0,2006961.6,0,0
2020-01-02,39,B,11,10,11,40,7F6B3XW,4MSTZXG,TIHYFNQ,,8714990000,CN,CN,8.0,A,B,260.0,1742.0,0,0
2020-01-02,40,B,10,21,11,10,N3FB786,M5KYBBQ,J9CTXXL,,4421999000,CN,CN,4.8,FCN1,S,9072.8,7258.24,0,0
2020-01-02,19,B,11,21,11,40,EX4Q9G2,5R6N6O3,X3S3PP4,,8532240000,KR,KR,0.0,C,G,23.8,132351.80000000002,0,0
2020-01-02,40,B,94,21,11,10,J1KOE8E,X1VBLNK,6WFAQF8,,703101000,CN,CN,135.0,W2,B,48000.0,4545600.0,0,0
2020-01-02,21,B,12,21,10,11,L5GONLU,TYZC8JZ,Z64QME2,,8504409099,CN,CN,4.9,C,S,74.7,32584.14,0,0
2020-01-02,20,B,12,21,10,10,ZQJIYI3,BES92ZL,WPN0LAZ,,6404191000,CN,CN,13.0,A,Y,15.0,2899.5,0,0
2020-01-02,38,B,10,21,10,42,5U5EWL2,2NGXK05,OACSQAD,,8516100000,FR,FR,0.0,FEU1,Y,232.7,155210.9,0,0
2020-01-02,40,B,12,21,10,39,5RQ0VK6,3UI91FS,8QOEWI1,,4203103050,IT,IN,13.0,A,E,5.0,46904.0,0,0
2020-01-02,21,B,11,21,11,40,M3WMW25,R1LO03Y,2WJO1MU,,9031809099,CN,CN,1.3,CIT,Y,10.0,314.0,1,1
2020-01-02,39,B,12,21,10,9,E3Q8ABV,53MRB9L,,,8544300000,JP,JP,8.0,A,Y,759.6,498373.56000000006,1,1
2020-01-02,19,B,12,21,10,39,PF1L1IG,VWJKO3U,Z64QME2,,8479891090,CN,CN,3.2,FCN1,E,375.0,1200.0,0,0
2020-01-02,39,B,83,21,11,10,QDUSBFS,KE1GGAQ,UKFKU1Z,W6UCD9,7326909000,JP,JP,8.0,A,G,7320.0,10980.0,0,0
2020-01-02,20,B,10,21,43,40,UFO3ZSU,Q1Q0C9C,5G06UT6,,6206401000,CN,CN,6.5,E1,B,172.0,3285.2000000000007,0,0
2020-01-02,19,B,11,21,11,10,R5P6P4N,BGBV4UU,RZM2Z77,MWIDNS,8518299000,IT,IT,6.0,CIT,E,105.0,9996.0,0,0
2020-01-02,20,B,87,11,11,10,7E5Q6X6,MYA1AM4,CD1N1FS,W6UCD9,6109101000,IT,PT,13.0,A,B,5.0,78.0,0,0
2020-01-02,40,B,11,21,10,10,PF1L1IG,9FFF2LD,IB5DP56,,3926909000,HK,CN,6.5,C,Y,1.9,1.14,0,0
2020-01-02,30,B,11,21,11,10,B28XSP7,LD8GM65,1VRR8DV,,6211499000,JE,CN,13.0,A,E,23.8,3108.28,1,1
2020-01-02,21,B,12,21,10,10,EDQK0LQ,MK7CEGQ,PDYT86E,,6907210000,CN,CN,6.2,E1,S,12200.0,81740.0,0,0
2020-01-02,41,B,10,21,10,9,S1N2WHR,TXTIFBM,3EVLVZQ,,7318220000,DE,DE,8.0,A,G,1.0,7.7,1,1
2020-01-02,40,B,11,21,44,40,BA7KAU9,0TWDZ2W,UHGZKBG,MWIDNS,8529909990,CN,CN,0.0,C,G,1694.0,3049.2000000000007,0,0
2020-01-02,41,B,10,21,11,9,UTNPOCA,F2QHIBP,OOHVJZ2,MWIDNS,9019102000,CN,CN,0.0,C,G,43.2,224.64,0,0
2020-01-02,21,B,12,21,10,40,23TMRU0,3BFUK83,249LO7A,,9027100000,US,US,0.0,CIT,B,285.3,453398.76,1,1
2020-01-02,20,B,10,21,11,40,DWNJQL8,XAZRS78,9TG9HU1,,8510902000,TW,TW,8.0,A,G,18.0,9741.6,1,1
2020-01-02,29,B,12,21,10,39,E3Q8ABV,X9IMQQG,,,4202211090,KR,IT,8.0,A,Y,1.4,43.12,1,1
2020-01-02,30,B,11,21,11,10,E189VWP,B5KYO4Q,42VLJD6,,3926909000,CN,CN,3.9,FCN1,Y,29.5,17.7,0,0
2020-01-02,39,B,11,21,11,41,L5GONLU,WA0NGC7,WPN0LAZ,,3926909000,CN,CN,3.9,FCN1,E,124.0,74.39999999999998,0,0
2020-01-02,29,B,11,21,11,39,M4LHV6R,M5KYBBQ,QH7XJKJ,,9401909000,GB,GB,8.0,A,S,3.5,125.29999999999998,0,0
2020-01-02,20,B,11,21,41,40,RXUA5V5,EZPJ2HR,9TG9HU1,,6202920000,CN,CN,13.0,A,B,224.0,314630.4,0,0
2020-01-02,10,B,11,21,11,10,X09KN33,H920U30,KIO9FBA,,6201131000,HK,IT,13.0,A,S,6.4,2273.28,0,0
2020-01-02,39,B,12,21,10,9,PF1L1IG,LSW3ZF8,TBYU8IT,,8507800000,IT,IT,8.0,A,E,0.9,557.91,1,1
2020-01-02,42,B,11,21,11,10,9UJYLGT,C8EY2Q7,KY3NSEY,,4202922000,CN,CN,4.2,FCN1,G,38.0,2261.0,0,0
2020-01-02,17,B,10,21,11,40,UMV59OQ,CFRLZPL,7A9UFSL,77BN4M,9018129000,US,KR,0.0,C,E,1.5,7122.75,1,1
2020-01-02,30,B,11,21,11,10,GY2YQE8,ANKGIHU,ZYZ8542,,6110200000,CN,CN,8.4,FCN1,G,153.0,4039.2,0,0
2020-01-02,21,B,10,21,11,38,ZQJIYI3,80SQK2I,249LO7A,,307522000,CN,CN,0.0,FCN6,E,2004.3,3954483.9,0,0
2020-01-02,42,B,11,21,11,10,RWYXI0J,V87JBMA,IUW8U8Z,,6214300000,CN,CN,8.0,A,E,95.0,10155.5,0,0
2020-01-02,20,B,10,21,11,10,7GHJ33J,NLGJRU8,EAD272Y,,2008999000,CN,CN,45.0,C,G,23598.0,988756.2,0,0
2020-01-02,20,B,11,21,11,10,69RSNY6,IJU2PLG,XA196DD,,3918101000,CN,CN,0.0,FCN1,E,573.7,112158.35,0,0
2020-01-02,40,B,11,21,18,40,6Z6EYFS,BV86LI5,AKS6PYW,,6802930000,CN,CN,8.0,A,G,11839.0,127861.2,1,1
2020-01-02,31,B,10,21,11,9,7GHJ33J,CASB18K,,,6216009000,CN,CN,3.2,FCN1,G,45.0,1035.0,1,1
2020-01-02,40,B,11,21,11,40,QAEP7ZO,Z4HKQ2H,IRMVLV3,,6211499000,SK,BA,13.0,A,G,1.0,130.6,1,1
2020-01-02,20,B,21,21,11,40,O4RTZZ1,F3QSFL5,P5X7SXG,,9506391000,CN,CN,2.4,FCN1,G,80.0,42672.0,0,0
2020-01-02,40,B,11,21,44,10,CY7AK0Q,797Y4RN,IU5QO7Q,,8507909000,CN,CN,2.4,FCN1,S,203.4,1098.36,0,0
